Secao,Titulo,Descrição,Data
economia,Biodiesel acentua pressão no preço do diesel do Brasil já em queda por importações,"Por Marta Nogueira e Roberto Samora RIO DE JANEIRO/SÃO PAULO (Reuters) -Cotações mais baixas do biodiesel no Brasil estão ajudando a segurar os preços do diesel nos postos do país, que já vinham pressionados por importações do combustível mais barato, especialmente da Rússia, de acordo com analistas e uma associação de produtores ouvidos pela Reuters. […]",20/04/2023 18:47
economia,STF: Mendonça segue Barroso contra FGTS abaixo da poupança,"O ministro André Mendonça, do Supremo Tribunal Federal (STF), seguiu o relator, Luís Roberto Barroso, na ação que discute a correção monetária do FGTS. O entendimento dos ministros é que a correção dos valores vinculados ao fundo deve ser pelo menos igual à caderneta da poupança. Após o voto de Mendonça, o julgamento foi suspenso […]",20/04/2023 18:40
economia,Relator de ação sobre FGTS vota para que correção não seja inferior ao rendimento da poupança,"O ministro Luís Roberto Barroso, do Supremo Tribunal Federal (STF), relator de ação que pede a correção monetária do FGTS com base na inflação, proferiu um voto médio sobre o tema na sessão desta quinta-feira, 20. No entendimento do ministro, a correção monetária dos valores vinculados ao fundo deve ser pelo menos igual à caderneta […]",20/04/2023 18:38
economia,Chanceler russo vai a Havana em campanha para angariar apoio na América Latina,"Por Dave Sherwood HAVANA (Reuters) – O ministro das Relações Exteriores da Rússia, Sergei Lavrov, reuniu-se nesta quinta-feira com o presidente cubano, Miguel Díaz-Canel, e com o ministro das Relações Exteriores do país, Bruno Rodríguez, em Havana, na última de uma série de visitas para fortalecer o apoio entre os aliados mais próximos da Rússia […]",20/04/2023 18:31
economia,"Açúcar atinge máxima de 11 anos em NY, café recua após pico de 6 meses e meio","NOVA YORK/LONDRES (Reuters) – Os contratos futuros de açúcar bruto na ICE subiram para os preços mais altos desde março de 2012 nesta quinta-feira em meio ao aperto na oferta global, enquanto o café arábica recuou após atingir um pico de seis meses e meio no início desta semana. AÇÚCAR * O contrato maio do […]",20/04/2023 18:16
economia,"Argentina: BC aumenta juros básicos em 300 pontos-base, com inflação recorde em três décadas","O Banco Central da Argentina (BCRA) confirmou nesta quinta-feira, 20, o aumento dos juros básicos em 300 pontos-base, conforme havia sido antecipado por veículos da imprensa local. Com a decisão, a taxa da chamada Letra de Liquidez (Leliq) avança a 81%, após a inflação no país atingir o maior nível em três décadas. Segundo comunicado, […]",20/04/2023 18:10
economia,Prêmios de soja no Brasil despencam com safra recorde e demanda chinesa mais fraca,"Por Ana Mano SÃO PAULO (Reuters) – Os prêmios da soja brasileira nos portos caíram para mínimas históricas nos últimos dias em meio ao arrefecimento da demanda chinesa, enquanto o país colhe uma safra recorde, disseram analistas e traders. Os prêmios caíram para -200 pontos base por bushel esta semana em portos como Paranaguá para […]",20/04/2023 17:59
economia,Deputado diz que Câmara votará urgência do arcabouço e projeto deve ir direto ao plenário,"O relator do projeto de lei complementar (PL) do novo arcabouço fiscal, deputado Cláudio Cajado (PP-BA), confirmou nesta quinta-feira, 20, que a Câmara votará urgência no PL e o texto irá direto ao plenário da Casa. Ele também disse esperar que a matéria seja votada até a primeira quinzena de maio. A aprovação do rito […]",20/04/2023 17:53
economia,Haddad promete ao varejo plano para adequar compras de plataformas asiáticas,"O ministro da Fazenda, Fernando Haddad, prometeu nesta quinta-feira a empresários do varejo que vai trabalhar em um plano de adequação das compras feitas em lojas de comércio eletrônico asiáticas. Um dos objetivos é assegurar que o imposto seja cobrado na transação. Ao deixar a audiência com Haddad no gabinete do ministério da Fazenda em […]",20/04/2023 17:48
economia,"Dirigente do Fed repete que juros devem superar 5%, mas evita antecipar decisão de maio","A presidente do Federal Reserve (Fed, o banco central norte-americano) de Cleveland, Loretta Mester, reiterou nesta quinta-feira, 20, que os juros básicos devem superar 5%, mas não quis antecipar se defenderá uma elevação de 25 pontos-base no encontro de maio do Comitê Federal de Mercado Aberto (FOMC). A dirigente, que não vota nas reuniões deste […]",20/04/2023 17:44
